,Neighborhood,City,Latitude,Longitude,Venue,Venue Category,Category,Address,Cluster Labels
57,Sanlitun,Beijing,39.9361049,116.4488126,三清潭,Cantonese Restaurant,Food,"('Sanlitun', 'Beijing')",10
58,Shuangjing,Beijing,39.8920933,116.4552314,Blue Frog (蓝蛙),Burger Joint,Food,"('Shuangjing', 'Beijing')",10
59,Shuangjing,Beijing,39.8920933,116.4552314,华联高级超市 BHG Market Place,Supermarket,Shop & Service,"('Shuangjing', 'Beijing')",10
60,Shuangjing,Beijing,39.8920933,116.4552314,KFC (肯德基),Fast Food Restaurant,Food,"('Shuangjing', 'Beijing')",10
61,Shuangjing,Beijing,39.8920933,116.4552314,Starbucks (星巴克),Coffee Shop,Food,"('Shuangjing', 'Beijing')",10
62,Shuangjing,Beijing,39.8920933,116.4552314,McDonald's (麦当劳),Fast Food Restaurant,Food,"('Shuangjing', 'Beijing')",10
63,Shuangjing,Beijing,39.8920933,116.4552314,McDonald's (麦当劳),Fast Food Restaurant,Food,"('Shuangjing', 'Beijing')",10
64,Shuangjing,Beijing,39.8920933,116.4552314,UME International Cineplex (UME国际影城),Multiplex,Arts & Entertainment,"('Shuangjing', 'Beijing')",10
65,Shuangjing,Beijing,39.8920933,116.4552314,Pizza Hut (必胜客),Pizza Place,Food,"('Shuangjing', 'Beijing')",10
66,Shuangjing,Beijing,39.8920933,116.4552314,Viva Mall (富力广场),Shopping Mall,Shop & Service,"('Shuangjing', 'Beijing')",10
67,Shuangjing,Beijing,39.8920933,116.4552314,Food Republic (大食代),Food Court,Food,"('Shuangjing', 'Beijing')",10
68,Shuangjing,Beijing,39.8920933,116.4552314,Landgent City Mall (乐成购物中心),Shopping Mall,Shop & Service,"('Shuangjing', 'Beijing')",10
69,Shuangjing,Beijing,39.8920933,116.4552314,面包新语 BreadTalk,Bakery,Food,"('Shuangjing', 'Beijing')",10
70,Shuangjing,Beijing,39.8920933,116.4552314,石器时代串吧 Stone Age BBQ,BBQ Joint,Food,"('Shuangjing', 'Beijing')",10
71,Shuangjing,Beijing,39.8920933,116.4552314,康师傅私房牛肉面 Master Kong Chef's Table（双井店）,Chinese Restaurant,Food,"('Shuangjing', 'Beijing')",10
72,Shuangjing,Beijing,39.8920933,116.4552314,吉野家 Yoshinoya,Japanese Restaurant,Food,"('Shuangjing', 'Beijing')",10
73,Shuangjing,Beijing,39.8920933,116.4552314,康师傅私房牛肉面 （双井店）,Noodle House,Food,"('Shuangjing', 'Beijing')",10
74,Shuangjing,Beijing,39.8920933,116.4552314,四川仁火锅 Sichun People Hotpot,Chinese Restaurant,Food,"('Shuangjing', 'Beijing')",10
75,Shuangjing,Beijing,39.8920933,116.4552314,Honeymoon Dessert (满记甜品),Dessert Shop,Food,"('Shuangjing', 'Beijing')",10
76,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,Hua's Restaurant (花家怡园),Chinese Restaurant,Food,"('Beixinqiao', 'Beijing')",5
77,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,Koharu Biyori (小春日和),Japanese Restaurant,Food,"('Beixinqiao', 'Beijing')",5
78,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,Rice Wine House (糯言酒馆),Bar,Nightlife Spot,"('Beixinqiao', 'Beijing')",5
79,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,Café de la Poste (云游驿),French Restaurant,Food,"('Beixinqiao', 'Beijing')",5
80,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,Huda Restaurant (胡大饭馆),Chinese Restaurant,Food,"('Beixinqiao', 'Beijing')",5
81,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,Qi Men Hotpot (奇门涮肉坊),Chinese Restaurant,Food,"('Beixinqiao', 'Beijing')",5
82,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,Beetle in a Box (盒子里的甲虫),Bar,Nightlife Spot,"('Beixinqiao', 'Beijing')",5
83,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,Panda Brew (熊猫精酿),Brewery,Nightlife Spot,"('Beixinqiao', 'Beijing')",5
84,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,SUBWAY (赛百味),Sandwich Place,Food,"('Beixinqiao', 'Beijing')",5
85,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,祖母的厨房 Grandma's Kitchen,Zhejiang Restaurant,Food,"('Beixinqiao', 'Beijing')",5
86,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,Caffe Bene,Café,Food,"('Beixinqiao', 'Beijing')",5
87,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,花家怡园 Hua's Restaurant,Chinese Restaurant,Food,"('Beixinqiao', 'Beijing')",5
88,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,姚记炒肝店,Chinese Restaurant,Food,"('Beixinqiao', 'Beijing')",5
89,Beixinqiao,Beijing,39.93938350000001,116.41087009999998,樂空間,Music Venue,Arts & Entertainment,"('Beixinqiao', 'Beijing')",5
90,Xiaoguan,Beijing,39.9141622,116.4105446,The Peninsula Beijing (王府半岛酒店),Hotel,Travel & Transport,"('Xiaoguan', 'Beijing')",14
91,Xiaoguan,Beijing,39.9141622,116.4105446,Legendale Hotel (北京励骏酒店),Hotel,Travel & Transport,"('Xiaoguan', 'Beijing')",14
92,Xiaoguan,Beijing,39.9141622,116.4105446,Waldorf Astoria Beijing,Hotel,Travel & Transport,"('Xiaoguan', 'Beijing')",14
93,Xiaoguan,Beijing,39.9141622,116.4105446,Regent Beijing (北京丽晶酒店),Hotel,Travel & Transport,"('Xiaoguan', 'Beijing')",14
94,Xiaoguan,Beijing,39.9141622,116.4105446,Novotel Beijing Peace (北京诺富特和平宾馆),Hotel,Travel & Transport,"('Xiaoguan', 'Beijing')",14
95,Xiaoguan,Beijing,39.9141622,116.4105446,"Morton's of Chicago, The Steakhouse (Morton's of Chicago, The Steakhouse 北京莫尔顿牛排坊)",Steakhouse,Food,"('Xiaoguan', 'Beijing')",14
96,Xiaoguan,Beijing,39.9141622,116.4105446,Lee Garden Service Apartments Beijing,Hotel,Travel & Transport,"('Xiaoguan', 'Beijing')",14
97,Xiaoguan,Beijing,39.9141622,116.4105446,TenFu's Tea,Tea Room,Food,"('Xiaoguan', 'Beijing')",14
98,Xiaoguan,Beijing,39.9141622,116.4105446,Yun,Bar,Nightlife Spot,"('Xiaoguan', 'Beijing')",14
99,Xiaoguan,Beijing,39.9141622,116.4105446,Starbucks (星巴克),Coffee Shop,Food,"('Xiaoguan', 'Beijing')",14
100,Xiaoguan,Beijing,39.9141622,116.4105446,drunk,Brewery,Nightlife Spot,"('Xiaoguan', 'Beijing')",14
101,Xiaoguan,Beijing,39.9141622,116.4105446,Brasserie 1893,Café,Food,"('Xiaoguan', 'Beijing')",14
102,Xiaoguan,Beijing,39.9141622,116.4105446,Jing,Breakfast Spot,Food,"('Xiaoguan', 'Beijing')",14
103,Xiaoguan,Beijing,39.9141622,116.4105446,火炉火,Korean Restaurant,Food,"('Xiaoguan', 'Beijing')",14
104,Xiaoguan,Beijing,39.9141622,116.4105446,Bloo Dining,Restaurant,Food,"('Xiaoguan', 'Beijing')",14
105,Xiaoguan,Beijing,39.9141622,116.4105446,Peninsula Health Club,Gym Pool,Outdoors & Recreation,"('Xiaoguan', 'Beijing')",14
106,Xiaoguan,Beijing,39.9141622,116.4105446,那家花园,Chinese Restaurant,Food,"('Xiaoguan', 'Beijing')",14
107,Xiaoguan,Beijing,39.9141622,116.4105446,Café 99,Breakfast Spot,Food,"('Xiaoguan', 'Beijing')",14
108,Xiaoguan,Beijing,39.9141622,116.4105446,Club Lounge @ Park Plaza,Lounge,Nightlife Spot,"('Xiaoguan', 'Beijing')",14
109,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,East Beijing (东隅),Hotel,Travel & Transport,"('Jiuxianqiao', 'Beijing')",9
110,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Indigo (颐堤港),Shopping Mall,Shop & Service,"('Jiuxianqiao', 'Beijing')",9
111,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Page One 叶壹堂,Bookstore,Shop & Service,"('Jiuxianqiao', 'Beijing')",9
112,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Feast,American Restaurant,Food,"('Jiuxianqiao', 'Beijing')",9
113,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,MUJI (无印良品),Department Store,Shop & Service,"('Jiuxianqiao', 'Beijing')",9
114,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Domain 域,Café,Food,"('Jiuxianqiao', 'Beijing')",9
115,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Hagaki 叶书,Japanese Restaurant,Food,"('Jiuxianqiao', 'Beijing')",9
116,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Xian 仙,Cocktail Bar,Nightlife Spot,"('Jiuxianqiao', 'Beijing')",9
117,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Tous Les Jours (多乐之日),Bakery,Food,"('Jiuxianqiao', 'Beijing')",9
118,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,BHG Market Place (BHG 华联高级超市),Grocery Store,Shop & Service,"('Jiuxianqiao', 'Beijing')",9
119,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Starbucks (星巴克),Coffee Shop,Food,"('Jiuxianqiao', 'Beijing')",9
120,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,McDonald's (麦当劳),Fast Food Restaurant,Food,"('Jiuxianqiao', 'Beijing')",9
121,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Food Republic (大食代),Food Court,Food,"('Jiuxianqiao', 'Beijing')",9
122,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Costa Coffee (咖世家),Coffee Shop,Food,"('Jiuxianqiao', 'Beijing')",9
123,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Watsons (屈臣氏),Cosmetics Shop,Shop & Service,"('Jiuxianqiao', 'Beijing')",9
124,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,Vai,Ice Cream Shop,Food,"('Jiuxianqiao', 'Beijing')",9
125,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,余小面,Chinese Restaurant,Food,"('Jiuxianqiao', 'Beijing')",9
126,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,郭林家常菜,Chinese Restaurant,Food,"('Jiuxianqiao', 'Beijing')",9
127,Jiuxianqiao,Beijing,39.96707620000001,116.4836705,渝乡人家,Asian Restaurant,Food,"('Jiuxianqiao', 'Beijing')",9
128,Tianqiao,Beijing,39.8812136,116.3922937,Tianqiao Performing Arts Center (天桥艺术中心),Performing Arts Venue,Arts & Entertainment,"('Tianqiao', 'Beijing')",6
129,Tianqiao,Beijing,39.8812136,116.3922937,RJ Brown Hotel Beijing,Hotel,Travel & Transport,"('Tianqiao', 'Beijing')",6
130,Tianqiao,Beijing,39.8812136,116.3922937,KFC (肯德基),Fast Food Restaurant,Food,"('Tianqiao', 'Beijing')",6
131,Tianqiao,Beijing,39.8812136,116.3922937,天桥市民文化广场 Cultural Square of Tianqiao (Heavently Bridge),Garden Center,Shop & Service,"('Tianqiao', 'Beijing')",6
132,Tianqiao,Beijing,39.8812136,116.3922937,OMNI SPACE (疆进酒),Rock Club,Arts & Entertainment,"('Tianqiao', 'Beijing')",6
133,Tianqiao,Beijing,39.8812136,116.3922937,Wansheng Theater,Theater,Arts & Entertainment,"('Tianqiao', 'Beijing')",6
134,Tianqiao,Beijing,39.8812136,116.3922937,郭记灌肠,Chinese Restaurant,Food,"('Tianqiao', 'Beijing')",6
135,Tianqiao,Beijing,39.8812136,116.3922937,天桥剧场,Theater,Arts & Entertainment,"('Tianqiao', 'Beijing')",6
136,Tianqiao,Beijing,39.8812136,116.3922937,德云社剧场,Comedy Club,Arts & Entertainment,"('Tianqiao', 'Beijing')",6
137,Tianqiao,Beijing,39.8812136,116.3922937,Beijing Museum of Natural History (北京自然博物馆),History Museum,Arts & Entertainment,"('Tianqiao', 'Beijing')",6
138,Zhongguancun,Beijing,39.9826335,116.3104743,SUBWAY (赛百味),Sandwich Place,Food,"('Zhongguancun', 'Beijing')",9
139,Zhongguancun,Beijing,39.9826335,116.3104743,SUBWAY (赛百味),Sandwich Place,Food,"('Zhongguancun', 'Beijing')",9
140,Zhongguancun,Beijing,39.9826335,116.3104743,KFC (肯德基),Fast Food Restaurant,Food,"('Zhongguancun', 'Beijing')",9
141,Zhongguancun,Beijing,39.9826335,116.3104743,Starbucks (星巴克),Coffee Shop,Food,"('Zhongguancun', 'Beijing')",9
142,Zhongguancun,Beijing,39.9826335,116.3104743,Ajisen Ramen (味千拉麵),Ramen Restaurant,Food,"('Zhongguancun', 'Beijing')",9
143,Zhongguancun,Beijing,39.9826335,116.3104743,China Unicom (中国联通),Mobile Phone Shop,Shop & Service,"('Zhongguancun', 'Beijing')",9
144,Zhongguancun,Beijing,39.9826335,116.3104743,Zhongguancun Metro Station (地铁中关村站),Metro Station,Travel & Transport,"('Zhongguancun', 'Beijing')",9
145,Zhongguancun,Beijing,39.9826335,116.3104743,Tube Station Pizza (站点比萨),Pizza Place,Food,"('Zhongguancun', 'Beijing')",9
146,Zhongguancun,Beijing,39.9826335,116.3104743,索尼坑爹维修中心,Hardware Store,Shop & Service,"('Zhongguancun', 'Beijing')",9
147,Dashilan,Beijing,39.8944985,116.39017199999999,Starbucks Reserve (星巴克甄选),Coffee Shop,Food,"('Dashilan', 'Beijing')",2
148,Dashilan,Beijing,39.8944985,116.39017199999999,四季民福,Beijing Restaurant,Food,"('Dashilan', 'Beijing')",2
149,Dashilan,Beijing,39.8944985,116.39017199999999,Suzuki Kitchen (铃木食堂),Japanese Restaurant,Food,"('Dashilan', 'Beijing')",2
150,Dashilan,Beijing,39.8944985,116.39017199999999,Tong Ren Tang (同仁堂),Pharmacy,Shop & Service,"('Dashilan', 'Beijing')",2
151,Dashilan,Beijing,39.8944985,116.39017199999999,Voyage Coffee,Coffee Shop,Food,"('Dashilan', 'Beijing')",2
152,Dashilan,Beijing,39.8944985,116.39017199999999,Dicos,Fast Food Restaurant,Food,"('Dashilan', 'Beijing')",2
153,Dashilan,Beijing,39.8944985,116.39017199999999,鲜鱼口美食街,Chinese Restaurant,Food,"('Dashilan', 'Beijing')",2
154,Dashilan,Beijing,39.8944985,116.39017199999999,全聚德 Quanjude Peking Roast Duck,Peking Duck Restaurant,Food,"('Dashilan', 'Beijing')",2
155,Dashilan,Beijing,39.8944985,116.39017199999999,Beijing Fun (北京坊),Shopping Mall,Shop & Service,"('Dashilan', 'Beijing')",2
156,Dashilan,Beijing,39.8944985,116.39017199999999,Hyde Hotel (HedeYuan),Hotel,Travel & Transport,"('Dashilan', 'Beijing')",2
157,Dashilan,Beijing,39.8944985,116.39017199999999,UNIQLO (优衣库),Clothing Store,Shop & Service,"('Dashilan', 'Beijing')",2
158,Dashilan,Beijing,39.8944985,116.39017199999999,McDonald's (麦当劳),Fast Food Restaurant,Food,"('Dashilan', 'Beijing')",2
159,Dashilan,Beijing,39.8944985,116.39017199999999,都一处前门店,Dim Sum Restaurant,Food,"('Dashilan', 'Beijing')",2
160,Dashilan,Beijing,39.8944985,116.39017199999999,内联升,Shoe Store,Shop & Service,"('Dashilan', 'Beijing')",2
161,Dashilan,Beijing,39.8944985,116.39017199999999,门框胡同卤煮火烧,Chinese Restaurant,Food,"('Dashilan', 'Beijing')",2
162,Dashilan,Beijing,39.8944985,116.39017199999999,Quanyechang 劝业场,Shopping Mall,Shop & Service,"('Dashilan', 'Beijing')",2
163,Dashilan,Beijing,39.8944985,116.39017199999999,红星二锅头 Red Star Erguotou,Liquor Store,Shop & Service,"('Dashilan', 'Beijing')",2
164,Dashilan,Beijing,39.8944985,116.39017199999999,杨梅竹斜街,Pedestrian Plaza,Outdoors & Recreation,"('Dashilan', 'Beijing')",2
165,Gallus,Frankfurt,50.10365845,8.63670648468984,Engel Pizza & Pasta,Italian Restaurant,Food,"('Gallus', 'Frankfurt')",1
166,Gallus,Frankfurt,50.10365845,8.63670648468984,Alim's Fischimbiss,Seafood Restaurant,Food,"('Gallus', 'Frankfurt')",1
167,Gallus,Frankfurt,50.10365845,8.63670648468984,Konamon,Japanese Restaurant,Food,"('Gallus', 'Frankfurt')",1
168,Gallus,Frankfurt,50.10365845,8.63670648468984,Mahlzeit,Restaurant,Food,"('Gallus', 'Frankfurt')",1
169,Gallus,Frankfurt,50.10365845,8.63670648468984,REWE,Supermarket,Shop & Service,"('Gallus', 'Frankfurt')",1
170,Gallus,Frankfurt,50.10365845,8.63670648468984,Cetin Grill,Mediterranean Restaurant,Food,"('Gallus', 'Frankfurt')",1
171,Gallus,Frankfurt,50.10365845,8.63670648468984,Rossmann,Drugstore,Shop & Service,"('Gallus', 'Frankfurt')",1
172,Gallus,Frankfurt,50.10365845,8.63670648468984,Hotel Franken,Hotel,Travel & Transport,"('Gallus', 'Frankfurt')",1
173,Gallus,Frankfurt,50.10365845,8.63670648468984,Maximilian's,German Restaurant,Food,"('Gallus', 'Frankfurt')",1
174,Gallus,Frankfurt,50.10365845,8.63670648468984,Billback,Bakery,Food,"('Gallus', 'Frankfurt')",1
175,Gallus,Frankfurt,50.10365845,8.63670648468984,Fitpur,Gym / Fitness Center,Outdoors & Recreation,"('Gallus', 'Frankfurt')",1
176,Gallus,Frankfurt,50.10365845,8.63670648468984,Aspera Grill,Turkish Restaurant,Food,"('Gallus', 'Frankfurt')",1
177,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,Kabuki,Japanese Restaurant,Food,"('Bahnhofsviertel', 'Frankfurt')",7
178,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,Saravanaa Bhavan,Indian Restaurant,Food,"('Bahnhofsviertel', 'Frankfurt')",7
179,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,City Kiosk Yok-Yok,Convenience Store,Shop & Service,"('Bahnhofsviertel', 'Frankfurt')",7
180,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,Der Fette Bulle,Burger Joint,Food,"('Bahnhofsviertel', 'Frankfurt')",7
181,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,Lam Frères,Vietnamese Restaurant,Food,"('Bahnhofsviertel', 'Frankfurt')",7
182,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,Plank,Bar,Nightlife Spot,"('Bahnhofsviertel', 'Frankfurt')",7
183,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,pizzeria montana,Pizza Place,Food,"('Bahnhofsviertel', 'Frankfurt')",7
184,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,Selera Malaysian Restaurant,Malay Restaurant,Food,"('Bahnhofsviertel', 'Frankfurt')",7
185,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,The Kinly Bar,Speakeasy,Nightlife Spot,"('Bahnhofsviertel', 'Frankfurt')",7
186,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,eatDOORI,Indian Restaurant,Food,"('Bahnhofsviertel', 'Frankfurt')",7
187,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,Im Herzen Afrikas,African Restaurant,Food,"('Bahnhofsviertel', 'Frankfurt')",7
188,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,Club Michel,Modern European Restaurant,Food,"('Bahnhofsviertel', 'Frankfurt')",7
189,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,Alim's Fisch Imbiss,Seafood Restaurant,Food,"('Bahnhofsviertel', 'Frankfurt')",7
190,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,Simit Café,Café,Food,"('Bahnhofsviertel', 'Frankfurt')",7
191,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096,COA - Asian food,Asian Restaurant,Food,"('Bahnhofsviertel', 'Frankfurt')",7
