,Neighborhood,City,Cluster Labels,Arts & Entertainment,Food,Nightlife Spot,Outdoors & Recreation,Shop & Service,Travel & Transport,Latitude,Longitude
19,Banchō,Tokyo,0,0.0,0.5454545454545454,0.060606060606060615,0.09090909090909093,0.18181818181818185,0.12121212121212123,35.685423,139.7321922
20,Bankenviertel,Frankfurt,12,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,50.110589,8.672952
21,Bath Beach,New York City,1,0.0,0.7,0.1,0.0,0.1,0.1,40.59951870282239,-73.99875221443519
22,Bathurst Quay,Toronto,8,0.0,0.6,0.0,0.2,0.1,0.1,43.63579050000001,-79.398329
23,Battery Park City,New York City,8,0.03125,0.40625,0.03125,0.21875,0.28125,0.03125,40.71193198394565,-74.01686930508617
24,Bay Ridge,New York City,11,0.05,0.6,0.1,0.0,0.25,0.0,40.625801065010656,-74.03062069353813
25,Bay Terrace,New York City,13,0.0,0.2727272727272727,0.0,0.2727272727272727,0.18181818181818185,0.2727272727272727,40.78284280624555,-73.7768022262158
26,Bay Terrace,New York City,13,0.0,0.2727272727272727,0.0,0.2727272727272727,0.18181818181818185,0.2727272727272727,40.55398800858462,-74.13916622175769
27,Bayside,New York City,9,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,40.76604063281064,-73.77427363068671
28,Bayview Village,Toronto,3,0.0,0.4,0.0,0.0,0.5,0.1,43.7691966,-79.37666170000001
29,Beixinqiao,Beijing,5,0.07142857142857142,0.7142857142857143,0.21428571428571427,0.0,0.0,0.0,39.93938350000001,116.41087009999998
30,Belmont,New York City,11,0.047619047619047616,0.6190476190476191,0.047619047619047616,0.047619047619047616,0.2380952380952381,0.0,40.85727710073896,-73.88845196134805
31,Berczy Park,Toronto,5,0.07017543859649122,0.5614035087719298,0.15789473684210525,0.05263157894736842,0.07017543859649122,0.08771929824561403,43.64798435,-79.3753959113886
32,Bishan,Singapore,2,0.057142857142857134,0.6,0.0,0.0,0.3428571428571429,0.0,1.3514521000000002,103.8482496
33,Boat Quay,Singapore,5,0.045454545454545456,0.5454545454545454,0.18181818181818185,0.18181818181818185,0.0,0.045454545454545456,1.2859386,103.8521496
34,Boerum Hill,New York City,2,0.0,0.5263157894736842,0.10526315789473684,0.0,0.3684210526315789,0.0,40.68568291209144,-73.98374824115798
35,Boon Keng,Singapore,4,0.0,0.9375,0.0,0.0,0.0625,0.0,1.31956905,103.861748677728
36,Boon Lay,Singapore,0,0.0,0.5454545454545454,0.0,0.0,0.2727272727272727,0.18181818181818185,1.3456401000000002,103.7118018
37,Boon Lay Place,Singapore,0,0.0,0.5454545454545454,0.0,0.18181818181818185,0.2727272727272727,0.0,1.3475171,103.713879916657
38,Bras Basah,Singapore,1,0.16666666666666666,0.6333333333333333,0.06666666666666668,0.0,0.03333333333333333,0.1,1.2968214,103.85066583319599
39,Brickworks,Singapore,4,0.0,1.0,0.0,0.0,0.0,0.0,1.2869332,103.807560113105
40,Brighton Beach,New York City,2,0.0,0.5,0.0,0.08333333333333333,0.4166666666666667,0.0,40.57682506566604,-73.96509448785335
41,Bromley,London,3,0.024390243902439025,0.3170731707317073,0.0,0.07317073170731707,0.5853658536585366,0.0,51.4028046,0.0148142
42,Brooklyn Heights,New York City,2,0.02,0.48,0.0,0.1,0.4,0.0,40.69586372272408,-73.99378225496423
43,Bugis,Singapore,9,0.0,0.625,0.025,0.025,0.275,0.05,1.2999533,103.855278146899
44,Bukit Batok,Singapore,9,0.05,0.7,0.0,0.0,0.25,0.0,1.3490572,103.7495906
45,Bukit Ho Swee,Singapore,4,0.0,0.9642857142857144,0.0,0.0,0.03571428571428571,0.0,1.2879953000000002,103.828564415084
46,Bukit Merah,Singapore,9,0.0,0.6,0.0,0.1,0.3,0.0,1.2806275,103.8305915
47,Bushwick,New York City,10,0.0,0.7,0.15,0.0,0.15,0.0,40.69811611017901,-73.92525797487045
48,Běixīnjīng,Shanghai,0,0.0,0.5,0.0,0.0,0.3,0.2,31.2188284,121.3681263
49,CN Tower,Toronto,6,0.3428571428571429,0.2857142857142857,0.17142857142857146,0.11428571428571427,0.028571428571428567,0.057142857142857134,43.6425637,-79.3870871832047
50,Cabbagetown,Toronto,11,0.037037037037037035,0.5925925925925926,0.07407407407407407,0.0,0.2962962962962963,0.0,43.6644734,-79.36698609999998
51,Camden,London,5,0.0,0.5454545454545454,0.18181818181818185,0.09090909090909093,0.09090909090909093,0.09090909090909093,51.5423045,-0.1395604
52,Carnegie Hill,New York City,0,0.060606060606060615,0.3636363636363637,0.09090909090909093,0.15151515151515152,0.3333333333333333,0.0,40.7826825671257,-73.95325646837112
53,Caroline Hill,Hong Kong,4,0.0,1.0,0.0,0.0,0.0,0.0,22.2765367,114.186479
54,Carroll Gardens,New York City,0,0.0,0.5208333333333334,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.02083333333333333,40.68054023107649,-73.99465372828006
55,Causeway Bay,Hong Kong,9,0.0,0.6818181818181818,0.022727272727272728,0.022727272727272728,0.25,0.022727272727272728,22.280208,114.1848407
56,Central Bay Street,Toronto,10,0.0,0.7,0.03333333333333333,0.1,0.16666666666666666,0.0,43.660912,-79.3858973
57,Central District,Hong Kong,5,0.0,0.5714285714285714,0.21428571428571427,0.03571428571428571,0.14285714285714285,0.03571428571428571,22.2813223,114.16025790000002
58,Central Harlem,New York City,5,0.05,0.6,0.2,0.1,0.05,0.0,40.81597606742414,-73.94321112603905
59,Chai Wan,Hong Kong,7,0.0,0.8181818181818182,0.0,0.09090909090909093,0.0,0.09090909090909093,22.26478335,114.237238369322
60,Chelsea,New York City,5,0.03125,0.59375,0.1875,0.03125,0.09375,0.0625,40.744034706747975,-74.00311633472813
61,Chelsea,New York City,5,0.03125,0.59375,0.1875,0.03125,0.09375,0.0625,40.59472602746296,-74.18956045519691
62,Cheung Chau,Hong Kong,7,0.0,0.7333333333333333,0.06666666666666668,0.13333333333333333,0.0,0.06666666666666668,22.2096137,114.029637050045
63,Chinatown,New York City,11,0.03773584905660377,0.6415094339622641,0.07547169811320754,0.03773584905660377,0.16981132075471694,0.03773584905660377,40.71561842231432,-73.99427936255978
64,Chinatown,Singapore,1,0.017543859649122806,0.631578947368421,0.05263157894736842,0.0,0.17543859649122806,0.12280701754385966,1.2837372,103.8437976
65,Chinatown,Toronto,10,0.0,0.7692307692307693,0.05128205128205128,0.0,0.1794871794871795,0.0,43.6529237,-79.3980316
66,Chong Boon,Singapore,9,0.0,0.6666666666666666,0.0,0.0,0.25,0.08333333333333333,1.36820695,103.856360356937
67,Christie,Toronto,7,0.0,0.7419354838709677,0.12903225806451613,0.06451612903225806,0.06451612903225806,0.0,43.6641106,-79.4184051
68,Church and Wellesley,Toronto,9,0.0625,0.65625,0.03125,0.0625,0.1875,0.0,43.6655242,-79.3838011
69,City,Zurich,0,0.03125,0.4375,0.15625,0.09375,0.1875,0.09375,47.3729425,8.5353456
70,City Hall,Singapore,11,0.04878048780487805,0.6097560975609756,0.07317073170731707,0.0,0.2195121951219512,0.04878048780487805,1.2928611,103.8526887
71,City Island,New York City,11,0.14285714285714285,0.5714285714285714,0.07142857142857142,0.0,0.21428571428571427,0.0,40.847246704918135,-73.78648845267412
72,City Line,New York City,3,0.0,0.35714285714285715,0.0,0.0,0.6428571428571429,0.0,40.67856995727479,-73.86797598081334
73,City One Shatin,Hong Kong,10,0.0,0.76,0.0,0.0,0.2,0.04,22.38661755,114.203511767598
74,Civic Center,New York City,8,0.05555555555555555,0.5277777777777778,0.027777777777777776,0.25,0.1388888888888889,0.0,40.71522892046282,-74.00541529873355
75,Clarke Quay,Singapore,5,0.0,0.5128205128205128,0.1794871794871795,0.07692307692307693,0.1282051282051282,0.10256410256410256,1.28818655,103.84639555444201
76,Clementi,Singapore,4,0.0,0.8666666666666667,0.0,0.0,0.13333333333333333,0.0,1.3140256,103.7624098
77,Clifford Pier,Singapore,5,0.0,0.7222222222222222,0.19444444444444445,0.05555555555555555,0.0,0.027777777777777776,1.28394665,103.853537790268
78,Clinton,New York City,12,0.20833333333333331,0.3333333333333333,0.16666666666666666,0.14583333333333334,0.10416666666666667,0.04166666666666666,40.75910089146212,-73.99611936309479
79,Clinton Hill,New York City,11,0.0,0.6363636363636364,0.09090909090909093,0.030303030303030307,0.21212121212121213,0.030303030303030307,40.69322942188151,-73.96784306216367
80,Cobble Hill,New York City,8,0.0,0.4545454545454545,0.09090909090909093,0.2727272727272727,0.18181818181818185,0.0,40.687919722485574,-73.99856139218463
81,College Point,New York City,9,0.0,0.6875,0.0,0.0,0.25,0.0625,40.78490274926021,-73.84304528896125
82,Commerce Court,Toronto,1,0.03333333333333333,0.6833333333333333,0.05,0.03333333333333333,0.13333333333333333,0.06666666666666668,43.64809515,-79.3790207204735
83,Commonwealth,Singapore,9,0.05263157894736842,0.631578947368421,0.0,0.05263157894736842,0.21052631578947367,0.05263157894736842,1.3024428,103.7983085
84,Concourse,New York City,14,0.07692307692307693,0.4615384615384616,0.0,0.0,0.2307692307692308,0.2307692307692308,40.83428380733851,-73.91558941773444
85,Corona,New York City,7,0.0,0.8181818181818182,0.0,0.09090909090909093,0.09090909090909093,0.0,40.74238175015667,-73.85682497345258
86,Crawford,Singapore,4,0.0,0.9166666666666666,0.0,0.0,0.0,0.08333333333333333,1.30558585,103.863087656683
87,Crown Heights,New York City,9,0.05882352941176471,0.5882352941176471,0.0,0.0,0.29411764705882354,0.05882352941176471,40.67082917695294,-73.94329119073582
88,Croydon,London,12,0.08695652173913042,0.39130434782608703,0.2608695652173913,0.0,0.2608695652173913,0.0,51.3713049,-0.101957
89,Cyberport,Hong Kong,1,0.05263157894736842,0.631578947368421,0.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,22.2606968,114.130286314354
90,Cáojiādù,Shanghai,2,0.0,0.6086956521739131,0.0,0.043478260869565216,0.3478260869565217,0.0,31.2316799,121.4226329
91,"Daikanyamachō, Shibuya",Tokyo,2,0.021739130434782608,0.5869565217391305,0.043478260869565216,0.043478260869565216,0.3043478260869565,0.0,35.6497628,139.7024277
92,Dashilan,Beijing,2,0.0,0.5555555555555556,0.0,0.05555555555555555,0.3333333333333333,0.05555555555555555,39.8944985,116.390172
93,Davisville North,Toronto,4,0.0,0.9333333333333332,0.0,0.0,0.06666666666666668,0.0,43.7043123,-79.38851690000001
94,Deer Park,Toronto,7,0.0,0.7826086956521741,0.06521739130434782,0.06521739130434782,0.08695652173913042,0.0,43.68809,-79.39409350000003
95,Design Exchange,Toronto,10,0.04838709677419355,0.7096774193548387,0.03225806451612903,0.04838709677419355,0.1129032258064516,0.04838709677419355,43.6477412,-79.3801145
96,Dhoby Ghaut,Singapore,0,0.027777777777777776,0.5277777777777778,0.0,0.1111111111111111,0.2777777777777778,0.05555555555555555,1.29935345,103.845308566721
97,Diamond Hill,Hong Kong,11,0.13333333333333333,0.6,0.0,0.0,0.2,0.06666666666666668,22.34003055,114.20160909603901
98,Discovery Bay,Hong Kong,10,0.0,0.7272727272727273,0.045454545454545456,0.09090909090909093,0.13636363636363635,0.0,22.2973688,114.016528
99,Don Mills North,Toronto,2,0.0,0.5,0.0,0.0,0.4375,0.0625,43.775347,-79.3459439
100,Downtown,New York City,10,0.03571428571428571,0.6964285714285714,0.03571428571428571,0.017857142857142856,0.19642857142857145,0.017857142857142856,40.69084402109802,-73.98346337431099
101,Dufferin,Toronto,5,0.0,0.55,0.25,0.0,0.2,0.0,43.6602019,-79.4357191
102,Dumbo,New York City,8,0.0625,0.4375,0.0,0.25,0.25,0.0,40.70317632822693,-73.98875280745041
103,Dǎpǔqiáo,Shanghai,5,0.04166666666666666,0.5833333333333334,0.25,0.04166666666666666,0.08333333333333333,0.0,31.2082863,121.4639412
104,Ealing,London,9,0.018867924528301886,0.6415094339622641,0.05660377358490566,0.0,0.2641509433962264,0.018867924528301886,51.5126553,-0.3051952
105,East Harlem,New York City,0,0.03571428571428571,0.5,0.03571428571428571,0.14285714285714285,0.2857142857142857,0.0,40.79224946663033,-73.94418223148523
106,East Tremont,New York City,0,0.0,0.4615384615384616,0.07692307692307693,0.07692307692307693,0.2307692307692308,0.15384615384615385,40.84269615786053,-73.88735617532338
107,East Village,New York City,5,0.010101010101010102,0.6161616161616161,0.202020202020202,0.040404040404040414,0.13131313131313133,0.0,40.727846777270244,-73.98222616506415
108,East Williamsburg,New York City,12,0.16666666666666666,0.4666666666666667,0.26666666666666666,0.0,0.1,0.0,40.70849241041548,-73.93885815269195
109,"Ebisu, Shibuya",Tokyo,7,0.0,0.79,0.11,0.02,0.08,0.0,35.646437799999994,139.7102101
110,Eltingville,New York City,9,0.0,0.6666666666666666,0.0,0.09523809523809523,0.19047619047619047,0.047619047619047616,40.542230747450745,-74.1643308041936
111,Enfield,London,3,0.02083333333333333,0.3541666666666667,0.04166666666666666,0.0,0.5416666666666666,0.04166666666666666,51.6520851,-0.08101749999999999
112,Escher Wyss,Zurich,0,0.05,0.4,0.0,0.1,0.25,0.2,47.39089910000001,8.5153597
113,Exhibition Place,Toronto,6,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,43.63381345,-79.417140724094
114,Fairview,Toronto,7,0.0,0.7272727272727273,0.0,0.18181818181818185,0.0,0.09090909090909093,43.653963,-79.38720699999998
115,Far Rockaway,New York City,9,0.0,0.6875,0.0,0.0,0.3125,0.0,40.603134432500894,-73.75497968043872
116,Farrer Park,Singapore,4,0.0,0.8518518518518519,0.0,0.0,0.037037037037037035,0.1111111111111111,1.31259105,103.854228847827
117,Fernvale,Singapore,9,0.04,0.68,0.0,0.0,0.28,0.0,1.3904635,103.8770826
118,Financial District,New York City,0,0.04,0.54,0.06,0.14,0.2,0.02,40.707107107270474,-74.01066544521271
119,First Canadian Place,Toronto,7,0.01818181818181818,0.7636363636363637,0.09090909090909093,0.054545454545454536,0.03636363636363636,0.03636363636363636,43.64876810000001,-79.3816917928303
120,Flatiron,New York City,0,0.017857142857142856,0.4642857142857143,0.017857142857142856,0.17857142857142858,0.32142857142857145,0.0,40.73967304763842,-73.99094710528259
121,Flushing,New York City,8,0.14285714285714285,0.42857142857142855,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,40.76445419697846,-73.83177300329581
122,Fordham,New York City,3,0.02631578947368421,0.3157894736842105,0.0,0.10526315789473684,0.5263157894736842,0.02631578947368421,40.86099679638654,-73.89642655981623
123,Forest Hill West,Toronto,2,0.08333333333333333,0.5833333333333334,0.0,0.0,0.3333333333333333,0.0,43.701028,-79.4255998
124,Fort Greene,New York City,8,0.03571428571428571,0.5357142857142857,0.07142857142857142,0.17857142857142858,0.17857142857142858,0.0,40.68852726018977,-73.97290574369092
125,Fort Hamilton,New York City,10,0.05,0.7,0.05,0.05,0.15,0.0,40.61476812694226,-74.03197914537985
126,Fortress Hill,Hong Kong,7,0.028571428571428567,0.8,0.057142857142857134,0.0,0.057142857142857134,0.057142857142857134,22.287563100000003,114.1933149
127,Fresh Meadows,New York City,3,0.0,0.2,0.0,0.0,0.5,0.3,40.7343944653313,-73.78271337003264
128,Fulton Ferry,New York City,8,0.07692307692307693,0.41025641025641024,0.07692307692307693,0.2564102564102564,0.02564102564102564,0.15384615384615385,40.70328109093014,-73.99550751888415
129,Gallus,Frankfurt,1,0.0,0.6666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,50.10365845,8.63670648468984
130,Garden District,Toronto,5,0.06666666666666668,0.6333333333333333,0.13333333333333333,0.06666666666666668,0.06666666666666668,0.03333333333333333,43.6564995,-79.3771141
131,Gewerbeschule,Zurich,7,0.02127659574468085,0.7446808510638298,0.1276595744680851,0.02127659574468085,0.0425531914893617,0.0425531914893617,47.3838176,8.5300864
132,Ghim Moh,Singapore,4,0.0,0.8421052631578947,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,1.311558,103.788797
133,Golden Mile,Toronto,7,0.0,0.8235294117647058,0.0,0.0,0.05882352941176471,0.1176470588235294,43.7278414,-79.2876217
134,Gombak,Singapore,4,0.0,0.9,0.0,0.0,0.1,0.0,1.360768,103.7495341
135,Gramercy,New York City,2,0.027027027027027032,0.4594594594594595,0.08108108108108109,0.054054054054054064,0.35135135135135137,0.027027027027027032,40.737209832715,-73.98137594833541
136,Grange Park,Toronto,12,0.2222222222222222,0.4444444444444444,0.0,0.05555555555555555,0.2777777777777778,0.0,43.6521966,-79.39231921757991
137,Grant City,New York City,0,0.0,0.5,0.0,0.1,0.3,0.1,40.57621558711788,-74.10585598545434
138,Great Kills,New York City,2,0.0,0.5789473684210527,0.10526315789473684,0.0,0.3157894736842105,0.0,40.549480228713605,-74.14932381490992
139,Greenpoint,New York City,2,0.0,0.5151515151515151,0.060606060606060615,0.09090909090909093,0.3333333333333333,0.0,40.7302009848647,-73.95424093127394
140,Greenwich ,London,6,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.25,0.0,0.08333333333333333,51.4820845,-0.0045417
141,Greenwich Village,New York City,2,0.08,0.55,0.05,0.02,0.3,0.0,40.72693288536128,-73.99991402945902
142,Hamilton Heights,New York City,5,0.0,0.6071428571428571,0.25,0.07142857142857142,0.07142857142857142,0.0,40.823604284811935,-73.94968791883366
143,Hammersmith and Fulham ,London,11,0.03773584905660377,0.5849056603773585,0.09433962264150944,0.05660377358490566,0.1509433962264151,0.07547169811320754,51.4920377,-0.2236401
144,Happy Valley,Hong Kong,4,0.0,1.0,0.0,0.0,0.0,0.0,22.267237,114.1869671
145,Harajuku,Tokyo,2,0.05434782608695652,0.4891304347826087,0.0,0.03260869565217391,0.4239130434782609,0.0,35.6687049,139.70533569999998
146,Harbourfront,Toronto,1,0.06818181818181818,0.5681818181818182,0.045454545454545456,0.11363636363636365,0.09090909090909093,0.11363636363636365,43.64008010000001,-79.3801495
147,Hatsudai,Tokyo,12,0.18032786885245905,0.4918032786885246,0.09836065573770493,0.016393442622950817,0.21311475409836064,0.0,35.6816399,139.68712390000002
148,Havering,London,5,0.0,0.75,0.25,0.0,0.0,0.0,51.54436870000001,-0.144303179891979
149,Heng Fa Chuen,Hong Kong,4,0.0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,22.27785875,114.240264469279
150,Hibiya,Tokyo,5,0.08333333333333333,0.625,0.10416666666666667,0.10416666666666667,0.02083333333333333,0.0625,35.67376429999999,139.75833930000002
151,"Higashi, Shibuya",Tokyo,11,0.0625,0.5833333333333334,0.08333333333333333,0.0,0.2708333333333333,0.0,35.70647520000001,139.6828466
152,Hillcrest,New York City,7,0.0,0.7222222222222222,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,40.723824901829204,-73.79760300912672
153,"Hitotsubashi, Chiyoda",Tokyo,7,0.0,0.8,0.06666666666666668,0.0,0.1,0.03333333333333333,35.6929572,139.7575158
154,Ho Man Tin,Hong Kong,10,0.0,0.7272727272727273,0.0,0.09090909090909093,0.18181818181818185,0.0,22.3159018,114.1800713
155,Homecrest,New York City,9,0.0,0.65,0.05,0.0,0.25,0.05,40.598525095137255,-73.95918459428701
156,"Honmachi, Shibuya",Tokyo,12,0.19642857142857145,0.5178571428571429,0.08928571428571429,0.03571428571428571,0.16071428571428573,0.0,35.68158915,139.685102274126
157,Hougang,Singapore,9,0.0,0.72,0.0,0.0,0.24,0.04,1.3719043,103.892725
158,Hounslow,London,2,0.0,0.5652173913043478,0.0,0.0,0.43478260869565216,0.0,51.46861320000001,-0.3613471
159,Howard Beach,New York City,9,0.0,0.7,0.0,0.05,0.25,0.0,40.65422527738487,-73.83813764600279
160,Hudson Yards,New York City,12,0.13043478260869565,0.3478260869565217,0.13043478260869565,0.17391304347826084,0.17391304347826084,0.043478260869565216,40.75665808227519,-74.00011136202637
161,Huguenot,New York City,2,0.0,0.5833333333333334,0.0,0.0,0.4166666666666667,0.0,40.53191192048961,-74.19174105747814
162,Hung Hom,Hong Kong,1,0.07692307692307693,0.6923076923076923,0.0,0.0,0.0,0.2307692307692308,22.3028568,114.18203242951
163,Hunters Point,New York City,10,0.03571428571428571,0.6964285714285714,0.05357142857142857,0.08928571428571429,0.125,0.0,40.743414090073536,-73.95386782130745
164,Höngg,Zurich,0,0.0,0.4166666666666667,0.0,0.08333333333333333,0.3333333333333333,0.16666666666666666,47.4016604,8.4977145
165,Ichigaya,Tokyo,11,0.04838709677419355,0.5483870967741935,0.12903225806451613,0.016129032258064516,0.25806451612903225,0.0,35.6923511,139.7367426
166,Ikebukuro,Tokyo,5,0.08641975308641975,0.654320987654321,0.19753086419753085,0.012345679012345678,0.037037037037037035,0.012345679012345678,35.73112310000001,139.70893519999998
167,Imado,Tokyo,13,0.0,0.0,0.0,0.3636363636363637,0.4545454545454545,0.18181818181818185,35.71934455,139.803548310237
168,India Bazaar,Toronto,10,0.047619047619047616,0.7142857142857143,0.047619047619047616,0.0,0.19047619047619047,0.0,43.6722231,-79.3235032
169,Innenstadt,Frankfurt,0,0.08,0.4,0.08,0.16,0.28,0.0,50.11287765,8.674921962131151
170,Inwood,New York City,10,0.0,0.7272727272727273,0.060606060606060615,0.0,0.21212121212121213,0.0,40.86768396449915,-73.92121042203897
171,Islington,London,0,0.054054054054054064,0.4864864864864865,0.10810810810810813,0.10810810810810813,0.2432432432432433,0.0,51.5384287,-0.0999051
172,Islington,Toronto,10,0.0,0.7333333333333333,0.06666666666666668,0.06666666666666668,0.13333333333333333,0.0,43.6453376,-79.52486999999998
173,Jackson Heights,New York City,9,0.0,0.7,0.0,0.0,0.3,0.0,40.75198138007367,-73.88282109164366
174,Jamaica Center,New York City,3,0.0,0.42857142857142855,0.0,0.03571428571428571,0.5357142857142857,0.0,40.70465736068717,-73.79690165888289
175,Jingūmae,Tokyo,2,0.1,0.5,0.0,0.025,0.325,0.05,35.6695337,139.7027842
176,Jiuxianqiao,Beijing,9,0.0,0.631578947368421,0.05263157894736842,0.0,0.2631578947368421,0.05263157894736842,39.96707620000001,116.4836705
177,Joo Koon,Singapore,1,0.0,0.5882352941176471,0.0,0.05882352941176471,0.17647058823529413,0.17647058823529413,1.327735,103.6782221
178,Jordan,Hong Kong,7,0.0,0.7948717948717948,0.05128205128205128,0.0,0.02564102564102564,0.1282051282051282,22.3048099,114.17171572242701
179,Jurong East,Singapore,9,0.05172413793103448,0.6551724137931034,0.017241379310344827,0.03448275862068965,0.2413793103448276,0.0,1.333115,103.7422968
180,Jurong West Central,Singapore,4,0.018867924528301886,0.8490566037735849,0.0,0.018867924528301886,0.11320754716981132,0.0,1.3396365,103.7073387
181,Kabukichō,Tokyo,5,0.08080808080808081,0.5858585858585859,0.26262626262626265,0.0,0.060606060606060615,0.010101010101010102,35.6936102,139.7019015
182,Kagurazaka,Tokyo,2,0.02564102564102564,0.5128205128205128,0.1282051282051282,0.0,0.3333333333333333,0.0,35.70388900000001,139.734222
183,Kampong Glam,Singapore,5,0.06666666666666668,0.6222222222222222,0.13333333333333333,0.06666666666666668,0.022222222222222227,0.08888888888888889,1.30128,103.8599267
184,Kanda,Tokyo,5,0.0,0.6666666666666666,0.26666666666666666,0.0,0.04444444444444445,0.022222222222222227,35.6937148,139.7708898
185,Katong,Singapore,1,0.0,0.7142857142857143,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,1.3057886,103.8976313
186,Kennedy Town,Hong Kong,4,0.0,0.8823529411764706,0.0,0.05882352941176471,0.029411764705882356,0.029411764705882356,22.28131165,114.12916039816601
187,Kensington,New York City,9,0.0625,0.625,0.0,0.0,0.3125,0.0,40.64238195800353,-73.98042110559473
188,Kensington Market,Toronto,11,0.01694915254237288,0.6271186440677966,0.11864406779661014,0.0,0.2033898305084746,0.03389830508474576,43.6552136,-79.4022604
189,Kensington and Chelsea,London,11,0.0625,0.59375,0.0625,0.03125,0.25,0.0,51.4989948,-0.1991229
190,Kent Ridge,Singapore,7,0.0,0.8125,0.0625,0.0,0.0625,0.0625,1.2933012,103.7844127
191,Kichijōji,Tokyo,10,0.05,0.69,0.12,0.0,0.14,0.0,35.70314129999999,139.5803077
192,King,Toronto,7,0.03448275862068965,0.6724137931034483,0.08620689655172414,0.06896551724137931,0.05172413793103448,0.08620689655172414,43.6489494,-79.3777538
193,King and Spadina,Toronto,11,0.03448275862068965,0.5862068965517241,0.10344827586206896,0.06896551724137931,0.1724137931034483,0.03448275862068965,43.6454561,-79.3949942
194,Kingsbridge,New York City,2,0.0,0.4705882352941176,0.05882352941176471,0.0,0.4117647058823529,0.05882352941176471,40.88168737120521,-73.90281798724605
195,Kingston upon Thames,London,2,0.01492537313432836,0.5373134328358209,0.08955223880597014,0.01492537313432836,0.3283582089552239,0.01492537313432836,51.4096275,-0.3062621
196,Kovan,Singapore,4,0.0,0.9047619047619048,0.0,0.047619047619047616,0.047619047619047616,0.0,1.3599863,103.8848589
